Year,FAFSA_CA_Dream_Act_Submitted,FAFSA_CA_Dream_Act_Completed,Cal_Grant_Submitted,Cal_Grant_Completed,Cal_Grant_Awarded,Enrollment,County,School_District,High_School,City
2023,575,490,521,446,329,599,Orange,Anaheim Union High,Anaheim High,Anaheim
2022,456,432,434,422,195,599,Orange,Fullerton Joint Union High,Sunny Hills High,Fullerton
2022,575,535,560,522,302,599,Orange,Santa Ana Unified,Segerstrom High,Santa Ana
2022,309,286,295,278,142,599,San Diego,Grossmont Union High,Grossmont High,La Mesa
2022,371,360,357,351,90,595,Los Angeles,William S. Hart Union High,West Ranch High,Stevenson Ranch
2022,320,305,216,208,32,595,Orange,Capistrano Unified,Tesoro High,Rancho Sta Mrgta
2023,458,433,408,388,201,595,Santa Barbara,Santa Maria Joint Union High,Ernest Righetti High,Santa Maria
2023,387,379,371,367,93,594,Los Angeles,William S. Hart Union High,Valencia High,Valencia
2022,422,407,415,403,110,594,Sacramento,Elk Grove Unified,Pleasant Grove High,Elk Grove
2022,327,318,317,312,24,593,Contra Costa,San Ramon Valley Unified,Monte Vista High,Danville
2023,475,449,453,438,134,593,Sacramento,Elk Grove Unified,Pleasant Grove High,Elk Grove
2023,419,390,407,381,119,593,Santa Clara,Fremont Union High,Fremont High,Sunnyvale
2022,252,217,241,211,129,593,Stanislaus,Modesto City High,Modesto High,Modesto
2022,376,361,364,354,137,592,Los Angeles,Culver City Unified,Culver City High,Culver City
2022,510,454,500,448,248,592,Los Angeles,Los Angeles Unified,John F. Kennedy High,Granada Hills
2023,409,365,368,330,232,592,San Joaquin,Stockton Unified,Edison High,Stockton
2022,353,336,342,329,123,591,Los Angeles,Glendora Unified,Glendora High,Glendora
2022,363,341,349,334,135,591,Los Angeles,Whittier Union High,La Serna High,Whittier
2023,335,316,325,310,75,591,Orange,Capistrano Unified,Dana Hills High,Dana Point
2022,357,317,337,302,210,591,San Bernardino,Rialto Unified,Rialto High,Rialto
2023,302,296,290,284,82,591,San Diego,Carlsbad Unified,Carlsbad High,Carlsbad
2022,291,264,271,250,187,590,San Bernardino,Chaffey Joint Union High,Ontario High,Ontario
2023,413,393,390,376,49,590,Santa Clara,Fremont Union High,Homestead High,Cupertino
2022,460,435,450,430,261,589,Los Angeles,Los Angeles Unified,North Hollywood Senior High,North Hollywood
2023,472,436,472,436,232,588,San Diego,Grossmont Union High,Helix High,La Mesa
2022,375,360,359,350,83,588,Yolo,Davis Joint Unified,Davis Senior High,Davis
2022,385,369,368,360,137,587,Los Angeles,Claremont Unified,Claremont High,Claremont
2023,472,427,450,411,217,587,Orange,Placentia-Yorba Linda Unified,Valencia High,Placentia
2022,259,246,245,235,113,587,Stanislaus,Modesto City High,Joseph A. Gregori High,Modesto
2023,519,487,489,460,252,586,Los Angeles,Los Angeles Unified,Grover Cleveland Charter High,Reseda
2022,297,275,272,254,175,586,Los Angeles,Montebello Unified,Montebello High,Montebello
2023,367,362,339,334,63,586,San Diego,Poway Unified,Rancho Bernardo High,San Diego
2023,345,336,326,323,29,585,Contra Costa,San Ramon Valley Unified,Monte Vista High,Danville
2022,488,450,464,436,276,585,Los Angeles,Los Angeles Unified,Alexander Hamilton Senior High,Los Angeles
2023,479,454,443,424,276,585,Sacramento,Elk Grove Unified,Monterey Trail High,Elk Grove
2023,351,340,332,324,87,585,San Diego,Poway Unified,Poway High,Poway
2023,438,393,409,373,156,585,San Diego,Sweetwater Union High,Bonita Vista Senior High,Chula Vista
2023,492,472,466,452,234,584,Fresno,Fresno Unified,Bullard High,Fresno
2023,548,511,510,482,301,584,Los Angeles,Los Angeles Unified,Alexander Hamilton Senior High,Los Angeles
2022,312,293,297,281,128,584,Orange,Orange Unified,Villa Park High,Villa Park
